Organization	Project	-80.0	-78.5	-20.0	0.0	4.0	20.0	21.5	22.0	23.0	25.0	None
AstraZeneca	AstraZeneca_P0001_T1	59	0	0	0	0	0	0	0	0	0	0
Biodesix	Biodesix_P0001_T1	0	0	0	0	0	0	0	0	0	0	730
CytoLumina	CytoLumina_P0001_T1	0	0	0	35	0	0	0	0	0	0	0
EpicSciences	EpicSciences_P001_T1	0	0	0	0	0	40	0	0	0	0	0
FoundationMedicine	FoundationMedicine_ClinAV_T1	0	212	0	0	0	0	0	0	0	0	0
GenomicHealth	GenomicHealth_P0001_T1	0	0	0	0	0	0	0	71	0	0	3
Guardant	Guardant_P0001_T1	0	0	0	0	0	0	500	0	0	0	0
MSKCC	MSKCC_P0001_T1	0	0	0	0	0	0	0	0	0	0	40
MSKCC	MSKCC_P0002_T1	0	0	0	0	0	0	0	0	0	0	0
MSKCC	MSKCC_P0003_T1	0	0	0	0	0	0	0	0	0	0	0
MSKCC	MSKCC_P0004_T1	0	0	0	0	0	0	0	0	0	0	0
Novartis	Novartis_Contrived1_T1	0	0	0	42	0	0	0	0	0	0	0
Novartis	Novartis_Contrived2_T1	0	0	0	0	0	0	0	0	0	0	0
PersonalGenome	PersonalGenome_Beta1	0	0	0	0	0	0	0	0	0	0	0
Provista	Provista_P0001_T1	0	0	0	0	0	0	0	0	0	0	18
ThermoFisher	ThermoFisher_P0001_T1	0	0	0	1	0	0	0	0	0	0	0
ThermoFisher	ThermoFisher_P0002_T1	0	0	16	0	0	0	0	0	0	16	0
UAMS	UAMS_P0001_T1	0	0	0	0	0	0	0	0	16	0	0
UMich	UMich_P0001_T1	0	0	52	0	0	0	0	0	0	0	0
UMich	UMich_P0002_T1	0	0	0	0	36	0	0	54	0	0	0
USC	USC_OPT1_T1	0	0	0	0	0	0	0	0	0	0	317
