Organization	Project	2.0	6.0	24.0	48.0	168.0	None	Not Applicable	Unknown
AstraZeneca	AstraZeneca_P0001_T1	0	0	0	0	0	0	19	40
Biodesix	Biodesix_P0001_T1	0	0	0	0	0	730	0	0
CytoLumina	CytoLumina_P0001_T1	0	0	35	0	0	0	0	0
EpicSciences	EpicSciences_P001_T1	0	0	0	0	0	40	0	0
FoundationMedicine	FoundationMedicine_ClinAV_T1	0	212	0	0	0	0	0	0
GenomicHealth	GenomicHealth_P0001_T1	0	0	72	0	0	2	0	0
Guardant	Guardant_P0001_T1	0	0	0	0	500	0	0	0
MSKCC	MSKCC_P0001_T1	0	0	0	0	0	40	0	0
MSKCC	MSKCC_P0002_T1	0	0	0	0	0	0	0	0
MSKCC	MSKCC_P0003_T1	0	0	0	0	0	0	0	0
MSKCC	MSKCC_P0004_T1	0	0	0	0	0	0	0	0
Novartis	Novartis_Contrived1_T1	0	0	0	0	0	0	0	42
Novartis	Novartis_Contrived2_T1	0	0	0	0	0	0	0	0
PersonalGenome	PersonalGenome_Beta1	0	0	0	0	0	0	0	0
Provista	Provista_P0001_T1	0	0	0	0	0	18	0	0
ThermoFisher	ThermoFisher_P0001_T1	0	0	0	0	0	4	0	0
ThermoFisher	ThermoFisher_P0002_T1	0	0	0	0	0	0	0	16
UAMS	UAMS_P0001_T1	0	0	8	0	0	0	8	0
UMich	UMich_P0001_T1	0	0	52	0	0	0	0	0
UMich	UMich_P0002_T1	30	30	0	30	0	0	0	0
USC	USC_OPT1_T1	0	0	160	74	0	83	0	0
